Name,website_link,website_name,phone,Direction,category,find,near,email,website,competitor1,competitor2,competitor3,competitor4
Nimbus Brain & Spine,https://www.yelp.com/biz_redir?url=https%3A%2F%2Fnimbusbrainspine.com&website_link_type=website&src_bizid=HAiVDO5yOp7Ailq4bhNanA&cachebuster=1598369342&s=bf7b0e968098a232abb772d905957a77cf3fc2e569a4d9611e66c0e321fb658b,nimbusbrainspine.com,(858) 432-3072,https://www.yelp.com/map/nimbus-brain-and-spine-san-diego,Sponsored Result,chiropractor,San Diego,support@nimbusbrainspine.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
Chiropractique,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.chiropractiquesd.com&website_link_type=website&src_bizid=PcTCZmJxa_3PnlgDg_B56Q&cachebuster=1598369369&s=0ebe5a0fef1f7b6fa53403cd6fcc7dcfb661e64168525d70176b7e8734d14a93,chiropractiquesd.com,(619) 269-9909,https://www.yelp.com/map/chiropractique-san-diego,Sponsored Result,chiropractor,San Diego,-,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
Inner Balance Institute,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.innerbalanceinstitute.com&website_link_type=website&src_bizid=SedgkdP1zCY6di0pham04w&cachebuster=1598369403&s=2723df2fdc943b404dc46e9eef4f8c9ad93e3a24becbd58a6c4f537898f836ee,innerbalanceinstitute.com,(619) 543-9999,https://www.yelp.com/map/inner-balance-institute-san-diego-2,Sponsored Result,chiropractor,San Diego,-,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
Chiropractic Orthopedic Group Of San Diego,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.drtoro.com&website_link_type=website&src_bizid=6IWRKzR06d8SCdAHbqvLpA&cachebuster=1598369433&s=d9ef4f4f789ea4e040a101e05ddaafa2bb47f1e9d4d549ebd43e7b679cb5563c,drtoro.com,(858) 609-6503,https://www.yelp.com/map/chiropractic-orthopedic-group-of-san-diego-san-diego-4,Sponsored Result,chiropractor,San Diego,info@drtoro.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
"Leah Parsanko, DC",https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.surfsidechiropracticarts.com&website_link_type=website&src_bizid=5B36EjlVyc-ycENIdpAIig&cachebuster=1598369459&s=ea9ac372891ecd41d0e3a1c26cb68ed52a7419ea58d1bcfcc63d1c5a287af1cf,surfsidechiropracticarts.com,(858) 538-8404,https://www.yelp.com/map/leah-parsanko-dc-encinitas-2,Sponsored Result,chiropractor,San Diego,drleahdc@gmail.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
San Diego Sports and Spine,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fsdsportsandspine.com&website_link_type=website&src_bizid=mU0EFS83j6aSx6MCH75nRw&cachebuster=1598369485&s=01d3e4944bba7cca1d83a754dd43f6f97a593dbc0d875854fcc0c2713747ca72,sdsportsandspine.com,(858) 279-2121,https://www.yelp.com/map/san-diego-sports-and-spine-san-diego,Sponsored Result,chiropractor,San Diego,erikrosenbergchiro@yahoo.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
Life Adjusted Wellness,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.lifeadjustedwellness.com&website_link_type=website&src_bizid=qiFEPcau6jJLS7lf7NpekA&cachebuster=1598369512&s=1431c68e8156531e2a5ef256a6bcf3d8502a9a9ea9fb123cdbf1465f7417ee8d,lifeadjustedwellness.com,(619) 320-2324,https://www.yelp.com/map/life-adjusted-wellness-san-diego,Sponsored Result,chiropractor,San Diego,hello@lifeadjustedwellness.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
On The Go Chiro,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.onthegochirosd.com&website_link_type=website&src_bizid=Fwn4dDfr1PeTgWc_rb98iw&cachebuster=1598369553&s=b2419b3906c0ef4a43b038167e7457607d83b843b3a7e8e91a46c905be6815b7,onthegochirosd.com,(619) 885-8288,https://www.yelp.com/map/on-the-go-chiro-san-diego,Sponsored Result,chiropractor,San Diego,DrPenny@OnTheGoChiroSD.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
Kupper Health Center,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fkupperhealthcenter.com&website_link_type=website&src_bizid=hUKJbM0tdjVrolmWSHu1hg&cachebuster=1598369576&s=70bb4063ea68e6530bdc39a0e33a1cc6dd2599a8c0983803db50c5fde9340a89,kupperhealthcenter.com,(760) 452-0065,https://www.yelp.com/map/kupper-health-center-encinitas,Sponsored Result,chiropractor,San Diego,kupperhealthcenter@gmail.com,Yelp,San Diego Sports & Spine,LiveSmart Chiropractic & Rehabilitation,Gaslamp Chiropractic,Chiropractique
"Travis Fahey, DC",https://www.yelp.com/biz_redir?url=https%3A%2F%2Fwww.drtravisfahey.com&website_link_type=website&src_bizid=lCPK_i-o6Se_QV5sQsJjiQ&cachebuster=1598369662&s=6f8bfea42a1a338aaf9df6a2f9a09a0652772a44817a34fc1f114ea23c8b9b0a,drtravisfahey.com,(972) 213-8559,https://www.yelp.com/map/travis-fahey-dc-dallas,Sponsored Result,chiropractor,Dallas,-,Yelp,Dallas Wellness Center,Inwood Chiropractic And Wellness Center,The Joint Chiropractic,Manning Wellness Clinic
North Texas Healing Center,https://www.yelp.com/biz_redir?url=http%3A%2F%2Fnorthtexashealingcenter.com&website_link_type=website&src_bizid=BE7Nanxn3CsJj4dzy_TcjA&cachebuster=1598369746&s=a7a959ec2f8c9535351f6b79018bfe907b79f690060ba9d22dada3f1e1b34bcc,northtexashealingcenter.com,(214) 705-9369,https://www.yelp.com/map/north-texas-healing-center-frisco-3,Sponsored Result,chiropractor,Dallas,ntxhealingcenter@gmail.com,Yelp,Dallas Wellness Center,Inwood Chiropractic And Wellness Center,The Joint Chiropractic,Manning Wellness Clinic
Inwood Chiropractic and Wellness Center,-,-,(214) 902-0092,https://www.yelp.com/map/inwood-chiropractic-and-wellness-center-dallas,Sponsored Result,chiropractor,Dallas,-,Yelp,Dallas Wellness Center,Inwood Chiropractic And Wellness Center,The Joint Chiropractic,Manning Wellness Clinic
Accident & Injury Chiropractic,https://www.yelp.com/biz_redir?url=https%3A%2F%2Faccidentandinjury.com%2F%3Futm_source%3Dyelp&website_link_type=website&src_bizid=afBcxA8YjxtQiUgSJZRVTg&cachebuster=1598369786&s=14c12c8730d6d9c3ececbb81701c44d6921a98d8c2f4de10abf23c80228eb3d1,accinj.com,(214) 946-7246,https://www.yelp.com/map/accident-and-injury-chiropractic-dallas-6,Sponsored Result,chiropractor,Dallas,-,Yelp,Dallas Wellness Center,Inwood Chiropractic And Wellness Center,The Joint Chiropractic,Manning Wellness Clinic
